Time,Tamb,Tparrot,wt56,wt2425
Fri Jun 14 11:30:59 2024,28.125,24.687,-4.7140625,1.0266666666665696
Fri Jun 14 11:31:31 2024,28.125,24.687,-4.8440625,1.0816666666665697
Fri Jun 14 11:32:04 2024,28.187,24.687,-4.6768574999999695,1.1041666666665697
Fri Jun 14 11:32:36 2024,28.25,24.687,-4.668125,1.0466666666665696
Fri Jun 14 11:33:09 2024,28.25,24.75,-4.748125,1.2066666666665697
Fri Jun 14 11:33:41 2024,28.25,24.75,-4.818125,1.0666666666665696
Fri Jun 14 11:34:13 2024,28.312,24.75,-4.708419999999969,1.1241666666665697
Fri Jun 14 11:34:46 2024,28.312,24.812,-4.680919999999969,1.1966666666665697
Fri Jun 14 11:35:18 2024,28.312,24.812,-4.748419999999969,1.0391666666665698
Fri Jun 14 11:35:51 2024,28.375,24.812,-4.6996875,1.2141666666665696
Fri Jun 14 11:36:23 2024,28.375,24.875,-4.7971875,1.1941666666665696
Fri Jun 14 11:36:56 2024,28.375,24.875,-4.7696875,1.2166666666665698
Fri Jun 14 11:37:28 2024,28.437,24.875,-4.712482499999969,1.2091666666665697
Fri Jun 14 11:38:01 2024,28.5,24.875,-4.67875,1.2491666666665697
Fri Jun 14 11:38:33 2024,28.5,24.937,-4.68125,1.2466666666665696
Fri Jun 14 11:39:05 2024,28.562,24.937,-4.641544999999969,1.3341666666665697
Fri Jun 14 11:39:38 2024,28.562,25.0,-4.641544999999969,1.2791666666665698
Fri Jun 14 11:40:10 2024,28.625,25.0,-4.5828125,1.3216666666665697
Fri Jun 14 11:40:43 2024,28.687,25.0,-4.558107499999969,1.2716666666665697
Fri Jun 14 11:41:15 2024,28.687,25.0,-4.545607499999969,1.4041666666665698
Fri Jun 14 11:41:48 2024,28.687,25.0,-4.655607499999969,1.3191666666665696
Fri Jun 14 11:42:20 2024,28.75,25.062,-4.544375,1.2841666666665696
Fri Jun 14 11:42:53 2024,28.75,25.062,-4.571875,1.3816666666665696
Fri Jun 14 11:43:25 2024,28.75,25.062,-4.706875,1.3966666666665697
Fri Jun 14 11:43:58 2024,28.812,25.125,-4.5596699999999695,1.3716666666665696
Fri Jun 14 11:44:30 2024,28.875,25.125,-4.5234375,1.4066666666665697
Fri Jun 14 11:45:03 2024,28.812,25.125,-4.632169999999969,1.4366666666665697
Fri Jun 14 11:45:35 2024,28.875,25.125,-4.6209375,1.4366666666665697
Fri Jun 14 11:46:07 2024,28.875,25.125,-4.6559375,1.4691666666665697
Fri Jun 14 11:46:40 2024,28.875,25.187,-4.7684375,1.4616666666665696
